651,682,682,718,729,758,783,792,800,839,858,895,876,876,858,858,792,800,876,876,963
652,698,698,729,751,767,792,793,807,858,869,898,878,878,869,869,793,807,878,883,977
659,708,708,751,755,768,793,800,825,876,876,933,895,883,876,876,800,825,883,893,999
680,709,709,758,758,778,800,807,839,878,878,937,898,895,878,878,807,839,895,895,1979
682,717,717,761,761,783,807,822,858,895,895,960,933,898,883,895,822,858,898,898,2007
698,725,725,767,767,792,822,825,876,898,898,961,937,933,895,933,825,876,917,917,2008
707,729,729,768,768,793,825,839,878,900,927,968,960,937,933,937,839,878,937,937,2024
708,751,751,778,778,800,839,858,895,927,933,969,961,960,937,960,858,895,960,963,2027
709,758,758,786,783,807,858,876,897,933,937,983,968,961,960,961,876,897,963,999,2065
717,761,761,792,792,822,876,878,898,937,951,999,969,968,961,963,878,898,970,1979,2081
725,767,767,793,793,825,878,895,900,951,960,2001,983,969,963,970,895,900,983,2007,2129
726,768,768,800,800,829,895,897,927,959,961,2007,999,970,969,983,897,927,999,2008,2142
729,778,778,807,807,839,897,898,932,960,968,2024,2001,983,970,999,898,932,2001,2024,2146
733,786,786,822,822,858,898,900,933,961,969,2038,2007,999,983,2001,900,933,2007,2038,2152
758,792,792,825,825,876,900,917,937,968,983,2069,2024,2001,999,2007,917,937,2008,2065,2153
761,793,793,828,828,878,912,927,951,969,999,2073,2038,2007,2001,2024,927,951,2024,2081,2183
767,800,800,829,829,895,917,932,959,983,2001,2092,2069,2024,2007,2038,932,959,2038,2129,2195
768,807,807,839,839,897,927,933,960,999,2007,2106,2073,2038,2024,2051,933,960,2051,2142,2202
778,822,822,858,858,898,932,937,961,2001,2024,2122,2081,2069,2038,2065,937,961,2065,2146,2230
780,825,825,876,876,900,933,951,968,2007,2028,2128,2092,2073,2051,2069,951,968,2081,2153,2236
786,828,828,878,878,912,937,959,969,2024,2069,2142,2106,2081,2069,2081,959,969,2129,2195,2241
792,839,839,895,895,917,951,960,983,2028,2073,2146,2122,2092,2081,2106,960,983,2142,2202,2252
793,858,858,897,897,927,959,968,999,2092,2092,2155,2128,2106,2092,2129,968,999,2146,2230,2292
800,869,869,898,898,932,960,969,2001,2122,2106,2202,2142,2122,2106,2142,969,2001,2153,2236,2294
806,875,875,900,900,933,968,983,2007,2128,2122,2244,2146,2128,2128,2146,983,2007,2202,2241,2304
807,878,878,912,912,937,969,999,2024,2142,2128,2299,2155,2142,2142,2155,999,2024,2230,2252,2385
822,895,895,917,917,951,983,2001,2028,2146,2142,2304,2202,2146,2146,2202,2001,2028,2236,2292,2399
825,897,897,927,927,959,999,2007,2122,2155,2146,2310,2241,2155,2155,2230,2007,2122,2241,2294,2415
828,898,898,932,932,960,2001,2024,2128,2202,2155,2344,2299,2202,2202,2236,2024,2128,2252,2304,2422
839,900,900,933,933,968,2024,2028,2142,2242,2202,2378,2304,2236,2236,2241,2028,2142,2292,2353,2424
858,912,912,937,937,969,2028,2122,2155,2244,2244,2385,2310,2241,2241,2269,2122,2155,2294,2375,2450
869,917,917,951,951,983,2038,2128,2202,2294,2294,2399,2344,2299,2269,2294,2128,2202,2304,2385,2456
875,927,927,959,959,2001,2122,2142,2242,2304,2304,2405,2353,2304,2294,2299,2142,2242,2310,2399,2465
878,930,930,960,960,2024,2128,2155,2244,2385,2310,2415,2378,2310,2299,2304,2155,2244,2344,2410,2470
895,932,932,969,969,2097,2142,2202,2304,2399,2385,2422,2385,2344,2304,2310,2202,2304,2353,2415,2475
898,933,933,970,983,2128,2155,2242,600000,2405,2399,2431,2399,2353,2310,2344,2242,600000,2375,2422,2500
900,937,937,983,2024,2142,2194,2244,600004,2415,2405,2493,2405,2375,2344,2353,2244,600004,2385,2450,2568
912,960,960,2024,2097,2146,2202,2275,600005,2422,2415,2498,2415,2378,2353,2375,2275,600005,2399,2456,2594
917,962,962,2110,2128,2152,2242,600000,600006,600000,2422,2500,2422,2385,2375,2385,600000,600006,2410,2465,2673
920,969,969,2122,2142,2155,2244,600004,600008,600004,2493,2594,2431,2399,2378,2399,600004,600008,2415,2470,2736
927,970,970,2128,2146,2202,2269,600005,600009,600005,2498,2603,2493,2405,2385,2415,600005,600009,2422,2475,2739
930,983,983,2142,2155,600000,600000,600006,600010,600006,2500,600000,2500,2415,2399,2422,600006,600010,2450,2500,300002
932,997,997,600000,2202,600001,600001,600008,600011,600008,600000,600005,2570,2422,2415,2431,600008,600011,2456,2594,300003
933,2008,2008,600001,600000,600004,600004,600009,600015,600009,600004,600008,2594,2431,2422,2450,600009,600015,2465,2673,300015
937,2024,2024,600004,600001,600005,600005,600010,600016,600010,600005,600009,2603,2500,2431,2456,600010,600016,2470,2736,300017
